name,Latitude,Longitude,Description,Image_URL,Category
Martyrs Memorial,36.7457117,3.0697319,No description,No image,Other Landmark
Botanical Garden Hamma,36.7466763,3.0727362,The Botanical Garden Hamma (Arabic: حديقة التجارب الحامة) (French: Jardin d'Essai du Hamma) is a 32-hectare (79-acre) botanical garden (38 hectares (94 acres) of gardens and 20 hectares (49 acres) of arboretum) located in the Mohamed Belouizdad (formerly Hamma-Anassers) district of Algiers. It was established in 1832.,No image,Other Landmark
Port of Algiers,36.7636474,3.0609709,No description,No image,Other Landmark
Great Mosque of Algeria,36.7853894,3.0639267,"The Djamaa el Djazaïr (Arabic: جامع الجزائر), also known as the Great Mosque of Algiers, is a large mosque located in Mohammadia, in the Dar El Beïda District of Algiers, Algeria. Opened in April 2019, it houses the world's tallest minaret that is 265 metres (869 ft) high, and is the third-largest mosque in the world after the Great Mosque of Mecca and Al-Masjid an-Nabawi of Medina in Saudi Arabia.",No image,Mosque
Martyrs' Square,36.7847493,3.0623509,Martyrs' Square may refer to:,No image,Other Landmark
Bastion 23,36.7882692,3.064085,No description,No image,Other Landmark
5 July 1962 Stadium,36.7595143,2.9952724,"The 5 July 1962 Stadium (Arabic: ملعب 5 جويلية 1962), named after the day Algeria declared independence, is a football and athletics stadium located in Algiers, Algeria. The stadium was inaugurated in 1972 with a capacity of 80,000 (64,200 After the seats installed). It served as the main stadium of the 1975 Mediterranean Games, the 1978 All-Africa Games, the 2004 Pan Arab Games, and the 2007 All-Africa Games. The stadium was one of two venues for the 1990 African Cup of Nations (the other venue was the 19 May 1956 Stadium in Annaba). It hosted 9 matches of the tournament, including the final, which had a second record attendance of 105,302 spectators. The home team Algeria defeated Nigeria 1–0 in the final to win the tournament. The record attendance is of 110,000 spectators in a friendly match between Algeria and Serbia on 3 March 2010. It also hosted the 2000 African Championships in Athletics. After a formal compliance with current safety standards in 1999, the stadium was reduced to 64,200 capacity, and following a new phase of renovation in 2003. The future capacity will be 80,000 with possible further renovations.",No image,Other Landmark
Sablette,36.7432373,3.1124762,No description,No image,Other Landmark
Teri park,36.7615822,2.9253076,No description,No image,Other Landmark
Nelson Mandela Stadium,36.6939429,3.1220307,"Nelson Mandela Stadium (Arabic: ملعب نيلسون مانديلا) is a sports stadium located in Baraki, suburb of Algiers, Algeria. The value of construction work for the stadium cost around 300 million euros. With a seating capacity of 40,784, it will be the first association-football-specific stadium in Algeria (meaning originally developed without an athletics track), and be the first stadium in Algeria, to be eligible to host all the matches organized by FIFA including the World Cup and the second stadium entirely covered in Algeria after the new Miloud Hadefi Stadium in Oran. The Nelson Mandela Stadium, which extends over a total area of 68 hectares, including 5 hectares built, includes all the infrastructure essential to the organization of international football events.",No image,Other Landmark
Kiffan Club,36.7596983,3.2175271,No description,No image,Other Landmark
Dream Park,36.7352851,3.1602779,"Dream Park is a 1981 sci-fi/murder mystery novel by American writers Larry Niven and Steven Barnes, set in a futuristic amusement park of the same name. It was nominated for the 1982 Locus Award",No image,Other Landmark
Ketchaoua Mosque,36.7850951,3.0607434,"The Ketchaoua Mosque (Arabic: جامع كتشاوة), also known as Djamaa Ketchaoua, is a mosque in the city of Algiers, the capital of Algeria. Completed in the 17th century, during Ottoman period, the mosque is located at the foot of the Casbah of Algiers, a UNESCO World Heritage Site and is on the first of the Casbah's many steep stairways. Its construction was logistically and symbolically a cynosure of pre-colonial Algiers. The mosque is noted for its unique fusion of Moorish and Byzantine architecture.",No image,Mosque
Emir Abdelkader Place,36.7886783,3.06054,No description,No image,Other Landmark
Bardo National Museum of Prehistory and Ethnography,36.7603755,3.0461464,"The Bardo National Museum of Prehistory and Ethnography (Arabic: المتحف الوطني باردو), is a national museum located in Algiers, Algeria. It was originally a palace built by the Algerian admiral Raïs Hamidou in the late 18th century.",No image,Other Landmark
Al-Rahma Mosque,36.7895151,2.9085474,"The Al-Rahma Mosque (Arabic: مسجد الرحمة, romanized: Masjid ar-Raḥmah, lit. 'Mosque of Mercy') is a Sunni mosque located on Hatherley Street in Toxteth, Liverpool, England, in the United Kingdom. The mosque can accommodate between 2,000 and 2,500 worshippers and serves as the main place of worship and focus point for Liverpool's Muslim population, which numbered over 25,000 in the 2021 United Kingdom census.",No image,Mosque
Sacred Heart Cathedral,36.7640955,3.0474057,Sacred Heart Cathedral may refer to:,No image,Other Landmark
Bab Azzoun,36.7812144,3.0609995,No description,No image,Other Landmark
Tennis Bachdjerrah,36.7180586,3.1095161,No description,No image,Other Landmark
Bois Des Cars,36.755969,2.9797785,No description,No image,Other Landmark
Beyrouth Parc,36.7673052,3.0481884,No description,No image,Other Landmark
Omar Hamadi Stadium,36.8009653,3.0481743,"Omar Hamadi Stadium (Arabic: ملعب عمر حمّادي) is a multi-purpose stadium in Bologhine, Algiers, Algeria. It is currently used mostly for football matches and is the home ground of USM Alger. The stadium has a capacity of 10,000 people.",No image,Other Landmark
Dounia Parc,36.7430448,2.9723982,No description,No image,Other Landmark
National Museum of Antiquities and Islamic Art,36.7614767,3.0459848,"The National Museum of Antiquities and Islamic Art (French: Musée National des Antiquités et des Arts Islamiques) is an art museum in Algiers, Algeria.",No image,Other Landmark
Ali La Pointe Stadium,36.6817135,2.9617141,"Ali La Pointe Stadium (Arabic: ملعب علي لابوانت), is a 40,000-capacity stadium in Douéra, Algeria, a suburb of Algiers. It is expected to serve as the home stadium of MC Alger.",No image,Other Landmark
Port Saïd Square,36.7809168,3.06125,No description,No image,Other Landmark
International Conference Center Abdelatif Rahal,36.7698201,2.8940427,No description,No image,Other Landmark
